,Name,Price,Location,Model_Year,Mileage,Fuel_Type,Transmission,Year,Price_per_Mile,Brand,Brand_Model,Fuel,County
1539,"Audi A5 Sportback 45 TFSI quattro S Tronic / NYSERVAD, 265HK",348000,"13540 Tyresö, Stockholm",Jan 2021,5410,2.0L Petrol,Automatic,2021,64.3253234750462,Audi,Audi A5,Petrol,Stockholm
1540,Kia Ceed GT 1.6 CRDi Line,138000,"19561, Stockholm",2016,9480,1.6L Diesel,Manual,2016,14.556962025316455,Kia,Kia Ceed,Diesel,Stockholm
1541,"Volvo XC60 B4 Geartronic Momentum / Värmare, VOC, Dragkrok",299000,"19561 Arlandastad, Stockholm",Mar 2021,11800,2.0L Diesel,Automatic,2021,25.338983050847457,Volvo,Volvo XC60,Diesel,Stockholm
1542,Audi A3 35 TFSI Proline,196000,"19561, Stockholm",2019,3340,1.5L Petrol,Manual,2019,58.68263473053892,Audi,Audi A3,Petrol,Stockholm
1543,"Audi Q7 3.0 TDI V6 quattro TipTronic S Line / 7-Sits, 272 HK",386000,"Tyresö, Stockholm",Oct 2016,10670,3.0L Diesel,Automatic,2016,36.17619493908154,Audi,Audi Q7,Diesel,Stockholm
1544,"BMW X4 xDrive20d Gesture control, Dragkrok, 190HK",364000,"a  ARLANDASTAD, Stockholm",Mar 2020,14560,2.0L Diesel,Automatic,2020,25.0,BMW,BMW X4,Diesel,Stockholm
1545,"Peugeot 208 5-dörrar 1.2 VTi / NYSERVAD, GPS, PDC-Bak",73000,"13540, Stockholm",Jun 2016,7460,1.2L Petrol,Manual,2016,9.785522788203753,Peugeot,Peugeot 208,Petrol,Stockholm
1546,Renault Captur 0.9 TCe / PDC-Bak,80000,"19561 Arlandastad, Stockholm",Jan 2014,9840,0.9L Petrol,Manual,2014,8.130081300813009,Renault,Renault Captur,Petrol,Stockholm
1547,"Toyota C-HR 1.2 Turbo AWD / Dragkrok, GPS, Backkamera",206000,"Tyresö, Stockholm",Aug 2019,5660,1.2L Petrol,Automatic,2019,36.39575971731449,Toyota,Toyota C-HR,Petrol,Stockholm
1548,Mitsubishi Outlander P-HEV Bussiness / 4WD / Premiumljud m.m,147000,"a  ARLANDASTAD, Stockholm",May 2015,17270,2.0L Hybrid,Automatic,2015,8.511870295309786,Mitsubishi,Mitsubishi Outlander,Hybrid,Stockholm
1549,Mazda 2 5-dörrar 1.5 SKYACTIV-G Vision / 90 HK,83000,"a  ARLANDASTAD, Stockholm",Apr 2015,11940,1.5L Petrol,Manual,2015,6.95142378559464,Mazda,Mazda 2,Petrol,Stockholm
1550,"Hyundai Tucson 1.6 T-GDI 4WD DCT / Dragkrok, Taklucka",173000,"Tyresö, Stockholm",Feb 2016,12780,1.6L Petrol,Automatic,2016,13.536776212832551,Hyundai,Hyundai Tucson,Petrol,Stockholm
1551,BMW 118 d 5-dörrars Steptronic M Sport / PDC-Bak,181000,"19561, Stockholm",Mar 2017,9460,2.0L Diesel,Automatic,2017,19.133192389006343,BMW,BMW 118,Diesel,Stockholm
1552,Nissan Qashqai 1.2 DIG-T Acenta / PDC,144000,"Tyresö, Stockholm",Mar 2018,8050,1.2L Petrol,Manual,2018,17.888198757763973,Nissan,Nissan Qashqai,Petrol,Stockholm
1553,BMW 218 Active Tourer i Steptronic Sport line / NYSERVAD,189000,"a  ARLANDASTAD, Stockholm",Jan 2017,2180,1.5L Petrol,Automatic,2017,86.69724770642202,BMW,BMW 218,Petrol,Stockholm
1554,"Mercedes C220 9G-Tronic AMG Line / Burmester, CarPlay",409000,"a  ARLANDASTAD, Stockholm",Jun 2021,6170,2.0L Diesel,Automatic,2021,66.28849270664506,Mercedes,Mercedes C220,Diesel,Stockholm
1555,"Toyota Aygo X 1.0 VVT-i / NYSERVAD, Backkamera",156000,"a  ARLANDASTAD, Stockholm",Oct 2023,170,1.0L Petrol,Manual,2023,917.6470588235294,Toyota,Toyota Aygo,Petrol,Stockholm
1556,Dacia Sandero 0.9 TCe Ambience / Bluetooth,71000,"19561 Arlandastad, Stockholm",Jun 2018,9100,0.9L Petrol,Manual,2018,7.802197802197802,Dacia,Dacia Sandero,Petrol,Stockholm
1557,Renault Zoe R110 52 kWh Zen Batteriköp PDC Navi V-Hjul,169900,"11347 Stockholm, Stockholm",Nov 2021,2635,Electric,Automatic,2021,64.47817836812145,Renault,Renault Zoe,Electric,Stockholm
1558,Kia Soul EV 64 kWh Advance,229900,"11347 Stockholm, Stockholm",Aug 2022,6691,Electric,Automatic,2022,34.359587505604544,Kia,Kia Soul,Electric,Stockholm
1559,VW ID3 Pro Performance 1st Edition Plus,234900,"11347 Stockholm, Stockholm",Sep 2020,7641,Electric,Automatic,2020,30.742049469964666,VW,VW ID3,Electric,Stockholm
1560,Seat Ibiza 1.2 TSI,89000,"13540, Stockholm",2016,9620,1.2L Petrol,Manual,2016,9.251559251559252,Seat,Seat Ibiza,Petrol,Stockholm
